"bulletin","ind","values","url","download_date","path_file","in_db"
"2074","Data (XLS)","08/11/2021","http://ec.europa.eu/energy/observatory/reports/2021_11_08_raw_data_2074.xlsx","2023-02-14","./data/raw/2021_11_08_raw_data_2074.xlsx",TRUE
"2075","Data (XLS)","15/11/2021","http://ec.europa.eu/energy/observatory/reports/2021_11_15_raw_data_2075.xlsx","2023-02-14","./data/raw/2021_11_15_raw_data_2075.xlsx",TRUE
"2076","Data (XLS)","22/11/2021","http://ec.europa.eu/energy/observatory/reports/2021_11_22_raw_data_2076.xlsx","2023-02-14","./data/raw/2021_11_22_raw_data_2076.xlsx",TRUE
"2077","Data (XLS)","29/11/2021","http://ec.europa.eu/energy/observatory/reports/2021_11_29_raw_data_2077.xlsx","2023-02-14","./data/raw/2021_11_29_raw_data_2077.xlsx",TRUE
"2078","Data (XLS)","06/12/2021","http://ec.europa.eu/energy/observatory/reports/2021_12_06_raw_data_2078.xlsx","2023-02-14","./data/raw/2021_12_06_raw_data_2078.xlsx",TRUE
"2079","Data (XLS)","13/12/2021","http://ec.europa.eu/energy/observatory/reports/2021_12_13_raw_data_2079.xlsx","2023-02-14","./data/raw/2021_12_13_raw_data_2079.xlsx",TRUE
"2080","Data (XLS)","20/12/2021","http://ec.europa.eu/energy/observatory/reports/2021_12_20_raw_data_2080.xlsx","2023-02-14","./data/raw/2021_12_20_raw_data_2080.xlsx",TRUE
"2081","Data (XLS)","03/01/2022","http://ec.europa.eu/energy/observatory/reports/2022_01_03_raw_data_2081.xlsx","2023-02-14","./data/raw/2022_01_03_raw_data_2081.xlsx",TRUE
"2082","Data (XLS)","10/01/2022","http://ec.europa.eu/energy/observatory/reports/2022_01_10_raw_data_2082.xlsx","2023-02-14","./data/raw/2022_01_10_raw_data_2082.xlsx",TRUE
"2083","Data (XLS)","17/01/2022","http://ec.europa.eu/energy/observatory/reports/2022_01_17_raw_data_2083.xlsx","2023-02-14","./data/raw/2022_01_17_raw_data_2083.xlsx",TRUE
"2084","Data (XLS)","24/01/2022","http://ec.europa.eu/energy/observatory/reports/2022_01_24_raw_data_2084.xlsx","2023-02-14","./data/raw/2022_01_24_raw_data_2084.xlsx",TRUE
"2085","Data (XLS)","31/01/2022","http://ec.europa.eu/energy/observatory/reports/2022_01_31_raw_data_2085.xlsx","2023-02-14","./data/raw/2022_01_31_raw_data_2085.xlsx",TRUE
"2086","Data (XLS)","07/02/2022","http://ec.europa.eu/energy/observatory/reports/2022_02_07_raw_data_2086.xlsx","2023-02-14","./data/raw/2022_02_07_raw_data_2086.xlsx",TRUE
"2087","Data (XLS)","14/02/2022","http://ec.europa.eu/energy/observatory/reports/2022_02_14_raw_data_2087.xlsx","2023-02-14","./data/raw/2022_02_14_raw_data_2087.xlsx",TRUE
"2088","Data (XLS)","21/02/2022","http://ec.europa.eu/energy/observatory/reports/2022_02_21_raw_data_2088.xlsx","2023-02-14","./data/raw/2022_02_21_raw_data_2088.xlsx",TRUE
"2089","Data (XLS)","28/02/2022","http://ec.europa.eu/energy/observatory/reports/2022_02_28_raw_data_2089.xlsx","2023-02-14","./data/raw/2022_02_28_raw_data_2089.xlsx",TRUE
"2090","Data (XLS)","07/03/2022","http://ec.europa.eu/energy/observatory/reports/2022_03_07_raw_data_2090.xlsx","2023-02-14","./data/raw/2022_03_07_raw_data_2090.xlsx",TRUE
"2091","Data (XLS)","14/03/2022","http://ec.europa.eu/energy/observatory/reports/2022_03_14_raw_data_2091.xlsx","2023-02-14","./data/raw/2022_03_14_raw_data_2091.xlsx",TRUE
"2092","Data (XLS)","21/03/2022","http://ec.europa.eu/energy/observatory/reports/2022_03_21_raw_data_2092.xlsx","2023-02-14","./data/raw/2022_03_21_raw_data_2092.xlsx",TRUE
"2093","Data (XLS)","28/03/2022","http://ec.europa.eu/energy/observatory/reports/2022_03_28_raw_data_2093.xlsx","2023-02-14","./data/raw/2022_03_28_raw_data_2093.xlsx",TRUE
"2094","Data (XLS)","04/04/2022","http://ec.europa.eu/energy/observatory/reports/2022_04_04_raw_data_2094.xlsx","2023-02-14","./data/raw/2022_04_04_raw_data_2094.xlsx",TRUE
"2095","Data (XLS)","11/04/2022","http://ec.europa.eu/energy/observatory/reports/2022_04_11_raw_data_2095.xlsx","2023-02-14","./data/raw/2022_04_11_raw_data_2095.xlsx",TRUE
"2096","Data (XLS)","25/04/2022","http://ec.europa.eu/energy/observatory/reports/2022_04_25_raw_data_2096.xlsx","2023-02-14","./data/raw/2022_04_25_raw_data_2096.xlsx",TRUE
"2097","Data (XLS)","02/05/2022","http://ec.europa.eu/energy/observatory/reports/2022_05_02_raw_data_2097.xlsx","2023-02-14","./data/raw/2022_05_02_raw_data_2097.xlsx",TRUE
"2098","Data (XLS)","09/05/2022","http://ec.europa.eu/energy/observatory/reports/2022_05_09_raw_data_2098.xlsx","2023-02-14","./data/raw/2022_05_09_raw_data_2098.xlsx",TRUE
"2099","Data (XLS)","16/05/2022","http://ec.europa.eu/energy/observatory/reports/2022_05_16_raw_data_2099.xlsx","2023-02-14","./data/raw/2022_05_16_raw_data_2099.xlsx",TRUE
"2100","Data (XLS)","23/05/2022","http://ec.europa.eu/energy/observatory/reports/2022_05_23_raw_data_2100.xlsx","2023-02-14","./data/raw/2022_05_23_raw_data_2100.xlsx",TRUE
"2101","Data (XLS)","30/05/2022","http://ec.europa.eu/energy/observatory/reports/2022_05_30_raw_data_2101.xlsx","2023-02-14","./data/raw/2022_05_30_raw_data_2101.xlsx",TRUE
"2102","Data (XLS)","06/06/2022","http://ec.europa.eu/energy/observatory/reports/2022_06_06_raw_data_2102.xlsx","2023-02-14","./data/raw/2022_06_06_raw_data_2102.xlsx",TRUE
"2103","Data (XLS)","13/06/2022","http://ec.europa.eu/energy/observatory/reports/2022_06_13_raw_data_2103.xlsx","2023-02-14","./data/raw/2022_06_13_raw_data_2103.xlsx",TRUE
"2104","Data (XLS)","20/06/2022","http://ec.europa.eu/energy/observatory/reports/2022_06_20_raw_data_2104.xlsx","2023-02-14","./data/raw/2022_06_20_raw_data_2104.xlsx",TRUE
